account_id,client_id,region,product,collateral_value,loan_amount,margin_requirement_pct,required_collateral,eligible_collateral,exposure,margin_deficit,margin_call_amount,call_date,due_date,status,days_to_due,risk_band
ACC10001,CL1001,US,Equity,67876.54,49336.45,0.55,109393.46,117996.32,0.0,0.0,0.0,2026-08-01,2026-08-04,Met,-13,Low
ACC10002,CL1002,Singapore,Multi-Asset,2466244.06,1777797.96,0.7,5906305.51,6786240.63,0.0,0.0,0.0,2026-08-10,2026-08-11,Met,-6,Low
ACC10003,CL1003,Hong Kong,ETF,156032.66,129655.48,0.7,430749.1,319643.33,0.0,111105.77,111105.77,2026-07-01,2026-07-03,Met,-45,Critical
ACC10004,CL1004,UK,Equity,128791.61,111639.78,0.6,278403.44,249603.15,0.0,28800.29,28800.29,2026-08-03,2026-08-04,Met,-13,High
ACC10005,CL1005,US,Equity,952578.53,638437.83,0.6,1592114.29,1194281.2,0.0,397833.09,397833.09,2026-06-25,2026-06-26,Met,-52,Critical
ACC10006,CL1006,US,Fixed Income,2757442.85,1657682.61,0.6,4133871.85,2928005.89,0.0,1205865.96,1205865.96,2026-07-08,2026-07-09,Disputed,-39,Critical
ACC10007,CL1007,US,ETF,1249438.26,724258.69,0.7,2406175.05,2480428.03,0.0,0.0,0.0,2026-06-14,2026-06-17,Met,-61,Low
ACC10008,CL1008,Singapore,ETF,675313.19,369606.96,0.7,1227930.1,1229433.97,0.0,0.0,0.0,2026-06-08,2026-06-09,Met,-69,Low
ACC10009,CL1009,UK,Multi-Asset,691117.93,330923.71,0.5,660526.37,516207.67,0.0,144318.7,144318.7,2026-07-24,2026-07-26,Met,-22,Critical
ACC10010,CL1010,Hong Kong,Fixed Income,839080.28,521256.8,0.6,1299892.27,1061890.34,0.0,238001.93,238001.93,2026-06-02,2026-06-03,Met,-75,Critical
ACC10011,CL1011,US,Equity,781676.65,457377.65,0.6,1140592.64,811935.29,0.0,328657.35,328657.35,2026-07-26,2026-07-27,Open,-21,Critical
ACC10012,CL1012,Singapore,Equity,546283.62,509796.62,0.6,1271313.27,1420659.02,0.0,0.0,0.0,2026-07-31,2026-08-01,Met,-16,Low
ACC10013,CL1013,Hong Kong,Equity,478375.29,348665.94,0.55,773095.21,917930.96,0.0,0.0,0.0,2026-06-22,2026-06-23,Met,-55,Low
ACC10014,CL1014,US,Fixed Income,422124.32,263252.99,0.65,750008.52,575803.87,0.0,174204.65,174204.65,2026-07-05,2026-07-06,Met,-42,Critical
ACC10015,CL1015,US,Equity,251331.12,186043.79,0.65,530039.29,432372.98,0.0,97666.31,97666.31,2026-06-16,2026-06-17,Met,-61,High
ACC10016,CL1016,US,ETF,358431.8,186240.57,0.65,530599.91,601808.94,0.0,0.0,0.0,2026-07-20,2026-07-21,Met,-27,Low
ACC10017,CL1017,US,Fixed Income,124278.76,83518.05,0.65,237943.16,276783.07,0.0,0.0,0.0,2026-07-13,2026-07-14,Met,-34,Low
ACC10018,CL1018,UK,Multi-Asset,410957.58,313608.78,0.65,893472.31,812893.34,0.0,80578.97,80578.97,2026-06-17,2026-06-20,Met,-58,High
ACC10019,CL1019,UK,Equity,210777.15,146373.96,0.6,365022.34,264754.8,0.0,100267.54,100267.54,2026-07-28,2026-07-31,Open,-17,Critical
ACC10020,CL1020,US,Fixed Income,193359.81,125855.85,0.6,313854.99,225880.15,0.0,87974.84,87974.84,2026-06-02,2026-06-03,Open,-75,High
ACC10021,CL1021,UK,Equity,506318.2,479444.95,0.55,1063070.84,1049224.27,0.0,13846.57,13846.57,2026-06-04,2026-06-06,Met,-72,Medium
ACC10022,CL1022,US,Fixed Income,1256702.41,1118662.93,0.65,3187073.87,2857044.58,0.0,330029.29,330029.29,2026-07-09,2026-07-12,Met,-36,Critical
ACC10023,CL1023,US,Equity,880933.53,671009.69,0.55,1487826.36,1062793.37,0.0,425032.99,425032.99,2026-06-06,2026-06-07,Disputed,-71,Critical
ACC10024,CL1024,US,Equity,136233.36,100089.11,0.65,285154.16,282766.33,0.0,2387.83,2387.83,2026-08-08,2026-08-10,Met,-7,Medium
ACC10025,CL1025,UK,Fixed Income,210613.27,160135.64,0.55,355067.94,250554.14,0.0,104513.8,104513.8,2026-08-08,2026-08-11,Met,-6,Critical
ACC10026,CL1026,Hong Kong,Equity,895894.9,493329.95,0.5,984690.52,1076942.22,0.0,0.0,0.0,2026-06-20,2026-06-21,Met,-57,Low
ACC10027,CL1027,US,Equity,211744.25,137118.99,0.55,304033.24,259406.15,0.0,44627.09,44627.09,2026-08-03,2026-08-04,Met,-13,High
ACC10028,CL1028,UK,Fixed Income,373818.3,175593.58,0.5,350486.19,252395.27,0.0,98090.92,98090.92,2026-06-16,2026-06-19,Open,-59,High
ACC10029,CL1029,UK,Fixed Income,668331.16,459660.14,0.65,1309573.05,1301946.24,0.0,7626.81,7626.81,2026-07-21,2026-07-22,Overdue,-26,Medium
